County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Fluvanna County, Virginia",51065,Urban,35.8,7244,"355 of 3143"
"Houghton County, Michigan",26061,Rural,35.8,7756,"356 of 3143"
"Kendall County, Illinois",17093,Urban,35.8,30372,"357 of 3143"
"Chesapeake City, Virginia",51550,Urban,35.8,60160,"358 of 3143"
"Santa Barbara County, California",06083,Urban,35.7,99143,"359 of 3143"
"Prince Georges County, Maryland",24033,Urban,35.6,233832,"360 of 3143"
"Midland County, Michigan",26111,Urban,35.6,21132,"361 of 3143"
"Elbert County, Colorado",08039,Urban,35.6,6778,"362 of 3143"
"Ulster County, New York",36111,Urban,35.6,47719,"363 of 3143"
"Calvert County, Maryland",24009,Urban,35.6,22831,"364 of 3143"
"Jefferson County, Alabama",01073,Urban,35.6,162672,"365 of 3143"
"Hamilton County, Tennessee",47065,Urban,35.5,92156,"366 of 3143"
"Benton County, Arkansas",05007,Urban,35.5,66960,"367 of 3143"
"Leavenworth County, Kansas",20103,Urban,35.5,19711,"368 of 3143"
"Park County, Colorado",08093,Urban,35.5,5032,"369 of 3143"
"Warren County, New Jersey",34041,Urban,35.5,28119,"370 of 3143"
"Dawson County, Georgia",13085,Urban,35.5,6943,"371 of 3143"
"Union County, South Dakota",46127,Urban,35.4,4060,"372 of 3143"
"New London County, Connecticut",09011,Urban,35.4,68001,"373 of 3143"
"Hughes County, South Dakota",46065,Rural,35.4,4355,"374 of 3143"
"Woodford County, Illinois",17203,Urban,35.4,9144,"375 of 3143"
"Eau Claire County, Wisconsin",55035,Urban,35.4,23827,"376 of 3143"
"Snohomish County, Washington",53061,Urban,35.4,205239,"377 of 3143"
"Rensselaer County, New York",36083,Urban,35.4,40094,"378 of 3143"
"Island County, Washington",53029,Rural,35.4,22510,"379 of 3143"
"Richmond County, New York",36085,Urban,35.3,121775,"380 of 3143"
"Kitsap County, Washington",53035,Urban,35.3,68674,"381 of 3143"
"McHenry County, Illinois",17111,Urban,35.3,75338,"382 of 3143"
"Forsyth County, North Carolina",37067,Urban,35.3,91017,"383 of 3143"
"Door County, Wisconsin",55029,Rural,35.3,8280,"384 of 3143"
"Cleveland County, Oklahoma",40027,Urban,35.2,66390,"385 of 3143"
"Gillespie County, Texas",48171,Rural,35.2,6948,"386 of 3143"
