County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US
"Grant County, Arkansas",05053,Urban,18.8,2368,"1952 of 3143"
"Lincoln County, Wisconsin",55069,Rural,18.8,4017,"1953 of 3143"
"Claiborne County, Tennessee",47025,Rural,18.8,4324,"1954 of 3143"
"Stanly County, North Carolina",37167,Rural,18.7,8265,"1955 of 3143"
"Vermilion Parish, Louisiana",22113,Urban,18.7,7141,"1956 of 3143"
"Delaware County, Oklahoma",40041,Rural,18.7,5576,"1957 of 3143"
"Vernon Parish, Louisiana",22115,Rural,18.7,5648,"1958 of 3143"
"Tift County, Georgia",13277,Rural,18.7,5043,"1959 of 3143"
"Whitley County, Kentucky",21235,Rural,18.7,4337,"1960 of 3143"
"Morgan County, West Virginia",54065,Urban,18.7,2442,"1961 of 3143"
"Kidder County, North Dakota",38043,Rural,18.7,311,"1962 of 3143"
"Benton County, Indiana",18007,Urban,18.7,1098,"1963 of 3143"
"Carroll County, Illinois",17015,Rural,18.7,2136,"1964 of 3143"
"Clark County, South Dakota",46025,Rural,18.7,477,"1965 of 3143"
"St. James Parish, Louisiana",22093,Urban,18.7,2615,"1966 of 3143"
"Moniteau County, Missouri",29135,Urban,18.7,1928,"1967 of 3143"
"Livingston County, Illinois",17105,Rural,18.7,4703,"1968 of 3143"
"Danville City, Virginia",51590,Rural,18.7,5496,"1969 of 3143"
"Angelina County, Texas",48005,Rural,18.6,10577,"1970 of 3143"
"Clark County, Ohio",39023,Urban,18.6,17456,"1971 of 3143"
"Fayette County, Pennsylvania",42051,Urban,18.6,17643,"1972 of 3143"
"Graves County, Kentucky",21083,Rural,18.6,4641,"1973 of 3143"
"Adair County, Kentucky",21001,Rural,18.6,2368,"1974 of 3143"
"Jackson County, West Virginia",54035,Rural,18.6,3695,"1975 of 3143"
"Humphreys County, Mississippi",28053,Rural,18.6,947,"1976 of 3143"
"Chickasaw County, Iowa",19037,Rural,18.6,1529,"1977 of 3143"
"LaFourche Parish, Louisiana",22057,Urban,18.6,12352,"1978 of 3143"
"Josephine County, Oregon",41033,Urban,18.6,12229,"1979 of 3143"
"Montgomery County, Iowa",19137,Rural,18.6,1343,"1980 of 3143"
"Benewah County, Idaho",16009,Rural,18.6,1282,"1981 of 3143"
"Armstrong County, Pennsylvania",42005,Urban,18.6,9035,"1982 of 3143"
"Sequatchie County, Tennessee",47153,Urban,18.6,2160,"1983 of 3143"
"Whitfield County, Georgia",13313,Urban,18.6,12408,"1984 of 3143"
"Polk County, Nebraska",31143,Rural,18.6,668,"1985 of 3143"
"Bleckley County, Georgia",13023,Rural,18.6,1513,"1986 of 3143"
"Jackson County, Indiana",18071,Rural,18.6,5848,"1987 of 3143"
"Ochiltree County, Texas",48357,Rural,18.6,1128,"1988 of 3143"
"Scurry County, Texas",48415,Rural,18.6,2047,"1989 of 3143"
"McCulloch County, Texas",48307,Rural,18.6,999,"1990 of 3143"
"Gibson County, Tennessee",47053,Urban,18.5,6385,"1991 of 3143"
"Pettis County, Missouri",29159,Rural,18.5,5301,"1992 of 3143"
"Franklin County, Iowa",19069,Rural,18.5,1288,"1993 of 3143"
"Cumberland County, Virginia",51049,Rural,18.5,1337,"1994 of 3143"
"Delaware County, Iowa",19055,Rural,18.5,2231,"1995 of 3143"
"Lewis County, Idaho",16061,Rural,18.5,485,"1996 of 3143"
"Roscommon County, Michigan",26143,Rural,18.5,3500,"1997 of 3143"
"Marshall County, Minnesota",27089,Rural,18.5,1168,"1998 of 3143"
"Pike County, Arkansas",05109,Rural,18.5,1320,"1999 of 3143"
"Finney County, Kansas",20055,Rural,18.5,4176,"2000 of 3143"
"Elk County, Pennsylvania",42047,Rural,18.5,4200,"2001 of 3143"
"Hardin County, Ohio",39065,Rural,18.5,3438,"2002 of 3143"
"Prentiss County, Mississippi",28117,Rural,18.5,3057,"2003 of 3143"
"Wabash County, Illinois",17185,Rural,18.5,1487,"2004 of 3143"
"Jewell County, Kansas",20089,Rural,18.5,407,"2005 of 3143"
"Union County, Arkansas",05139,Rural,18.5,4894,"2006 of 3143"
"Hardin County, Texas",48199,Urban,18.5,7077,"2007 of 3143"
"Northumberland County, Pennsylvania",42097,Rural,18.5,12361,"2008 of 3143"
"Schuylkill County, Pennsylvania",42107,Rural,18.5,19294,"2009 of 3143"
"Wapello County, Iowa",19179,Rural,18.5,4447,"2010 of 3143"
"Van Buren County, Iowa",19177,Rural,18.5,936,"2011 of 3143"
"Parmer County, Texas",48369,Rural,18.5,1150,"2012 of 3143"
"Allamakee County, Iowa",19005,Rural,18.5,1795,"2013 of 3143"
"Sargent County, North Dakota",38081,Rural,18.4,508,"2014 of 3143"
"Grant County, Indiana",18053,Rural,18.4,8125,"2015 of 3143"
"Nicholas County, West Virginia",54067,Rural,18.4,3288,"2016 of 3143"
"Lanier County, Georgia",13173,Urban,18.4,1210,"2017 of 3143"
"Putnam County, Missouri",29171,Rural,18.4,615,"2018 of 3143"
"Stephens County, Texas",48429,Rural,18.4,1169,"2019 of 3143"
"La Salle County, Illinois",17099,Rural,18.4,14267,"2020 of 3143"
"Jackson County, Iowa",19097,Rural,18.4,2537,"2021 of 3143"
"McDuffie County, Georgia",13189,Urban,18.4,2703,"2022 of 3143"
"Robertson County, Texas",48395,Urban,18.4,2124,"2023 of 3143"
"Columbia County, Oregon",41009,Urban,18.4,6997,"2024 of 3143"
"Webster County, Missouri",29225,Urban,18.4,4651,"2025 of 3143"
"Irion County, Texas",48235,Urban,18.4,207,"2026 of 3143"
"Bennett County, South Dakota",46007,Rural,18.4,330,"2027 of 3143"
"Wadena County, Minnesota",27159,Rural,18.4,1721,"2028 of 3143"
"Maries County, Missouri",29125,Rural,18.4,1113,"2029 of 3143"
"Humboldt County, Iowa",19091,Rural,18.4,1221,"2030 of 3143"
"Pawnee County, Kansas",20145,Rural,18.3,913,"2031 of 3143"
"Taylor County, West Virginia",54091,Rural,18.3,2236,"2032 of 3143"
"Aitkin County, Minnesota",27001,Rural,18.3,2271,"2033 of 3143"
"Major County, Oklahoma",40093,Rural,18.3,958,"2034 of 3143"
"Bath County, Virginia",51017,Rural,18.3,590,"2035 of 3143"
"Carbon County, Pennsylvania",42025,Urban,18.3,8810,"2036 of 3143"
"Sandusky County, Ohio",39143,Rural,18.3,7617,"2037 of 3143"
"Tama County, Iowa",19171,Rural,18.3,2125,"2038 of 3143"
"Lincoln County, Missouri",29113,Urban,18.3,7404,"2039 of 3143"
"Cottle County, Texas",48101,Rural,18.3,201,"2040 of 3143"
"Otero County, Colorado",08089,Rural,18.3,2316,"2041 of 3143"
"Kern County, California",06029,Urban,18.3,101371,"2042 of 3143"
"Runnels County, Texas",48399,Rural,18.3,1253,"2043 of 3143"
"Spalding County, Georgia",13255,Urban,18.3,8460,"2044 of 3143"
"Nome Census Area, Alaska",02180,Rural,18.3,1019,"2045 of 3143"
"Wayne County, West Virginia",54099,Urban,18.3,5129,"2046 of 3143"
"Dade County, Georgia",13083,Urban,18.3,2068,"2047 of 3143"
"Barton County, Missouri",29011,Rural,18.3,1464,"2048 of 3143"
"Jasper County, Georgia",13159,Urban,18.3,1876,"2049 of 3143"
"Allen County, Kentucky",21003,Urban,18.3,2630,"2050 of 3143"
"Cullman County, Alabama",01043,Rural,18.3,11256,"2051 of 3143"
"White County, Indiana",18181,Rural,18.3,3107,"2052 of 3143"
"Highlands County, Florida",12055,Urban,18.3,14461,"2053 of 3143"
"Shelby County, Illinois",17173,Rural,18.3,2756,"2054 of 3143"
"Walthall County, Mississippi",28147,Rural,18.3,1704,"2055 of 3143"
"Fulton County, Ohio",39051,Urban,18.3,5339,"2056 of 3143"
"Chenango County, New York",36017,Rural,18.3,6204,"2057 of 3143"
"Clearwater County, Minnesota",27029,Rural,18.3,1058,"2058 of 3143"
"Perry County, Pennsylvania",42099,Urban,18.3,6041,"2059 of 3143"
"Hart County, Georgia",13147,Rural,18.3,3483,"2060 of 3143"
"Newaygo County, Michigan",26123,Rural,18.3,6431,"2061 of 3143"
"Umatilla County, Oregon",41059,Rural,18.2,9650,"2062 of 3143"
"Prowers County, Colorado",08099,Rural,18.2,1376,"2063 of 3143"
"Milam County, Texas",48331,Rural,18.2,3116,"2064 of 3143"
"Eddy County, New Mexico",35015,Rural,18.2,7231,"2065 of 3143"
"Rio Arriba County, New Mexico",35039,Rural,18.2,5048,"2065 of 3143"
"Wyoming County, New York",36121,Rural,18.2,5378,"2067 of 3143"
"Stanislaus County, California",06099,Urban,18.2,63887,"2068 of 3143"
"Elk County, Kansas",20049,Rural,18.2,325,"2069 of 3143"
"Aurora County, South Dakota",46003,Rural,18.2,314,"2070 of 3143"
"Lake County, California",06033,Rural,18.2,8914,"2071 of 3143"
"Surry County, North Carolina",37171,Rural,18.2,9222,"2072 of 3143"
"Pickett County, Tennessee",47137,Rural,18.2,689,"2073 of 3143"
"Floyd County, Iowa",19067,Rural,18.2,1980,"2074 of 3143"
"Hall County, Texas",48191,Rural,18.2,360,"2075 of 3143"
"Yakima County, Washington",53077,Urban,18.2,28366,"2076 of 3143"
"Montgomery County, Illinois",17135,Rural,18.2,3745,"2077 of 3143"
"Watonwan County, Minnesota",27165,Rural,18.2,1376,"2078 of 3143"
"Daggett County, Utah",49009,Rural,18.2,78,"2079 of 3143"
"Butte County, South Dakota",46019,Rural,18.2,1320,"2080 of 3143"
"Gallia County, Ohio",39053,Rural,18.2,3632,"2081 of 3143"
"Shawano County, Wisconsin",55115,Rural,18.2,5324,"2082 of 3143"
"Tehama County, California",06103,Rural,18.2,8174,"2083 of 3143"
"Montgomery County, Kentucky",21173,Rural,18.2,3491,"2084 of 3143"
"Tillman County, Oklahoma",40141,Rural,18.2,851,"2085 of 3143"
"Baxter County, Arkansas",05005,Rural,18.2,5808,"2086 of 3143"
"Lawrence County, Ohio",39087,Urban,18.2,7421,"2087 of 3143"
"Cotton County, Oklahoma",40033,Urban,18.2,698,"2088 of 3143"
"Boundary County, Idaho",16021,Rural,18.2,1554,"2089 of 3143"
"Tallapoosa County, Alabama",01123,Rural,18.2,5365,"2090 of 3143"
"Kay County, Oklahoma",40071,Rural,18.1,5274,"2091 of 3143"
"Champaign County, Ohio",39021,Rural,18.1,4938,"2092 of 3143"
"Jefferson County, Illinois",17081,Rural,18.1,4695,"2093 of 3143"
"Henry County, Ohio",39069,Rural,18.1,3462,"2094 of 3143"
"Gratiot County, Michigan",26057,Rural,18.1,5178,"2095 of 3143"
"Ferry County, Washington",53019,Rural,18.1,1007,"2096 of 3143"
"Knox County, Indiana",18083,Rural,18.1,4376,"2097 of 3143"
"Wharton County, Texas",48481,Rural,18.1,4927,"2098 of 3143"
"Cumberland County, Tennessee",47035,Rural,18.1,8604,"2099 of 3143"
"Clearwater County, Idaho",16035,Rural,18.1,1282,"2100 of 3143"
"Fallon County, Montana",30025,Rural,18.1,352,"2101 of 3143"
"Emmons County, North Dakota",38029,Rural,18.1,444,"2102 of 3143"
"Gila County, Arizona",04007,Rural,18.1,7175,"2103 of 3143"
"Sanders County, Montana",30089,Rural,18.1,1760,"2104 of 3143"
"Box Butte County, Nebraska",31013,Rural,18.1,1343,"2105 of 3143"
"Palo Pinto County, Texas",48363,Rural,18.1,3517,"2106 of 3143"
"Hayes County, Nebraska",31085,Rural,18.1,123,"2107 of 3143"
"Pike County, Illinois",17149,Rural,18.1,1869,"2108 of 3143"
"Huntingdon County, Pennsylvania",42061,Rural,18.1,5776,"2109 of 3143"
"Tate County, Mississippi",28137,Urban,18.1,3301,"2110 of 3143"
"Harrison County, Kentucky",21097,Rural,18.1,2354,"2111 of 3143"
"Kit Carson County, Colorado",08063,Rural,18.0,866,"2112 of 3143"
"Colbert County, Alabama",01033,Urban,18.0,7368,"2113 of 3143"
"Wrangell Borough, Alaska",02275,Rural,18.0,281,"2114 of 3143"
"Clay County, Mississippi",28025,Rural,18.0,2293,"2115 of 3143"
"Carroll County, Mississippi",28015,Rural,18.0,1330,"2116 of 3143"
"Boone County, Nebraska",31011,Rural,18.0,674,"2117 of 3143"
"Creek County, Oklahoma",40037,Urban,18.0,8871,"2118 of 3143"
"Jefferson County, Indiana",18077,Rural,18.0,4161,"2119 of 3143"
"McLean County, Kentucky",21149,Urban,18.0,1145,"2120 of 3143"
"Greene County, Tennessee",47059,Rural,18.0,9108,"2121 of 3143"
"Uintah County, Utah",49047,Rural,18.0,3823,"2122 of 3143"
"Howell County, Missouri",29091,Rural,18.0,4899,"2123 of 3143"
"Gibson County, Indiana",18051,Rural,18.0,4027,"2124 of 3143"
"McDowell County, North Carolina",37111,Rural,18.0,5858,"2125 of 3143"
"Renville County, Minnesota",27129,Rural,18.0,1844,"2126 of 3143"
"Kiowa County, Colorado",08061,Rural,18.0,167,"2127 of 3143"
"Schley County, Georgia",13249,Rural,18.0,542,"2128 of 3143"
"Laurens County, South Carolina",45059,Urban,17.9,8401,"2129 of 3143"
"Webster County, Mississippi",28155,Rural,17.9,1210,"2130 of 3143"
"Walsh County, North Dakota",38099,Rural,17.9,1320,"2131 of 3143"
"Jones County, Georgia",13169,Urban,17.9,3519,"2132 of 3143"
"Beauregard Parish, Louisiana",22011,Rural,17.9,4342,"2133 of 3143"
"Edwards County, Kansas",20047,Rural,17.9,370,"2133 of 3143"
"Sabine County, Texas",48403,Rural,17.9,1361,"2135 of 3143"
"Mercer County, Illinois",17131,Urban,17.9,2008,"2136 of 3143"
"Marinette County, Wisconsin",55075,Rural,17.9,5584,"2137 of 3143"
"Dewey County, South Dakota",46041,Rural,17.9,499,"2138 of 3143"
"Haralson County, Georgia",13143,Urban,17.9,3710,"2139 of 3143"
"Kiowa County, Oklahoma",40075,Rural,17.9,1036,"2140 of 3143"
"Bamberg County, South Carolina",45009,Rural,17.9,1603,"2141 of 3143"
"Pontotoc County, Mississippi",28115,Rural,17.9,3660,"2142 of 3143"
"Vermillion County, Indiana",18165,Urban,17.9,1946,"2143 of 3143"
"Dinwiddie County, Virginia",51053,Urban,17.9,3599,"2144 of 3143"
"Sibley County, Minnesota",27143,Rural,17.8,1858,"2145 of 3143"
"Goliad County, Texas",48175,Urban,17.8,900,"2146 of 3143"
"Meade County, Kentucky",21163,Urban,17.8,3708,"2147 of 3143"
"Richmond County, Virginia",51159,Rural,17.8,1209,"2148 of 3143"
"McIntosh County, Georgia",13191,Urban,17.8,1590,"2149 of 3143"
"Vance County, North Carolina",37181,Rural,17.8,5128,"2150 of 3143"
"Fulton County, Indiana",18049,Rural,17.8,2488,"2151 of 3143"
"Blaine County, Oklahoma",40011,Rural,17.8,1090,"2152 of 3143"
"Orleans County, New York",36073,Urban,17.8,5221,"2153 of 3143"
"Pulaski County, Kentucky",21199,Rural,17.8,8181,"2154 of 3143"
"Northampton County, North Carolina",37131,Rural,17.8,2356,"2155 of 3143"
"Vernon County, Missouri",29217,Rural,17.8,2372,"2156 of 3143"
"Richland County, Ohio",39139,Urban,17.8,15488,"2157 of 3143"
"Morgan County, Kentucky",21175,Rural,17.7,1815,"2158 of 3143"
"Edgecombe County, North Carolina",37065,Urban,17.7,6054,"2159 of 3143"
"Cumberland County, Illinois",17035,Rural,17.7,1314,"2160 of 3143"
"Morgan County, Colorado",08087,Rural,17.7,3348,"2161 of 3143"
"Noble County, Indiana",18113,Rural,17.7,5655,"2162 of 3143"
"Hettinger County, North Dakota",38041,Rural,17.7,326,"2163 of 3143"
"Amelia County, Virginia",51007,Urban,17.7,1737,"2164 of 3143"
"Etowah County, Alabama",01055,Urban,17.7,12885,"2165 of 3143"
"Del Norte County, California",06015,Rural,17.7,3485,"2166 of 3143"
"Caroline County, Maryland",24011,Rural,17.7,4044,"2167 of 3143"
"La Salle Parish, Louisiana",22059,Rural,17.7,1765,"2168 of 3143"
"Union County, Mississippi",28145,Rural,17.7,3275,"2169 of 3143"
"Fulton County, Illinois",17057,Rural,17.7,4328,"2170 of 3143"
"Page County, Iowa",19145,Rural,17.7,2006,"2171 of 3143"
"Grant County, Washington",53025,Rural,17.7,10729,"2172 of 3143"
"Franklin County, Illinois",17055,Rural,17.7,4713,"2173 of 3143"
"Iroquois County, Illinois",17075,Rural,17.6,3380,"2174 of 3143"
"Westmoreland County, Virginia",51193,Rural,17.6,2454,"2175 of 3143"
"Churchill County, Nevada",32001,Rural,17.6,3090,"2176 of 3143"
"Randolph County, West Virginia",54083,Rural,17.6,3620,"2177 of 3143"
"Crittenden County, Arkansas",05035,Urban,17.6,5389,"2178 of 3143"
"Chicot County, Arkansas",05017,Rural,17.6,1245,"2179 of 3143"
"Greenup County, Kentucky",21089,Urban,17.6,4509,"2180 of 3143"
"Alcorn County, Mississippi",28003,Rural,17.6,4240,"2181 of 3143"
"Weston County, Wyoming",56045,Rural,17.6,863,"2182 of 3143"
"Lewis County, West Virginia",54041,Rural,17.6,2136,"2183 of 3143"
"San Patricio County, Texas",48409,Urban,17.6,7858,"2184 of 3143"
"Bracken County, Kentucky",21023,Urban,17.6,1021,"2185 of 3143"
"Preston County, West Virginia",54077,Urban,17.6,4491,"2186 of 3143"
"Concordia Parish, Louisiana",22029,Rural,17.6,2177,"2187 of 3143"
"Scioto County, Ohio",39145,Rural,17.6,9019,"2188 of 3143"
"Shelby County, Missouri",29205,Rural,17.6,731,"2189 of 3143"
"Catahoula Parish, Louisiana",22025,Rural,17.6,1105,"2190 of 3143"
"Bullitt County, Kentucky",21029,Urban,17.5,10257,"2191 of 3143"
"Morton County, Kansas",20129,Rural,17.5,326,"2192 of 3143"
"Chaves County, New Mexico",35005,Rural,17.5,7320,"2193 of 3143"
"Person County, North Carolina",37145,Urban,17.5,4901,"2194 of 3143"
"Crawford County, Wisconsin",55023,Rural,17.5,2064,"2195 of 3143"
"Hill County, Texas",48217,Rural,17.5,4346,"2196 of 3143"
"Murray County, Oklahoma",40099,Rural,17.5,1668,"2197 of 3143"
"Cannon County, Tennessee",47015,Urban,17.5,1807,"2198 of 3143"
"Lamar County, Georgia",13171,Rural,17.5,2146,"2199 of 3143"
"Washington County, Idaho",16087,Rural,17.5,1304,"2200 of 3143"
"Rawlins County, Kansas",20153,Rural,17.5,324,"2201 of 3143"
"Macon County, Missouri",29121,Rural,17.5,1823,"2202 of 3143"
"Harper County, Kansas",20077,Rural,17.5,638,"2203 of 3143"
"Morrison County, Minnesota",27097,Rural,17.5,4139,"2204 of 3143"
"Galax City, Virginia",51640,Rural,17.5,774,"2205 of 3143"
"Lincoln County, Montana",30053,Rural,17.5,2707,"2206 of 3143"
"Smyth County, Virginia",51173,Rural,17.5,3803,"2207 of 3143"
"Barren County, Kentucky",21009,Rural,17.4,5384,"2208 of 3143"
"Marshall County, Illinois",17123,Urban,17.4,1488,"2209 of 3143"
"Belmont County, Ohio",39013,Urban,17.4,8516,"2210 of 3143"
"Hardeman County, Texas",48197,Rural,17.4,431,"2211 of 3143"
"Washington County, Georgia",13303,Rural,17.4,2451,"2212 of 3143"
"Hancock County, Kentucky",21091,Rural,17.4,1074,"2213 of 3143"
"Merrick County, Nebraska",31121,Urban,17.4,947,"2214 of 3143"
"McMinn County, Tennessee",47107,Rural,17.4,6560,"2215 of 3143"
"Winston County, Mississippi",28159,Rural,17.4,2146,"2216 of 3143"
"McPherson County, Nebraska",31117,Rural,17.4,59,"2217 of 3143"
"Stanton County, Kansas",20187,Rural,17.4,245,"2218 of 3143"
"Freestone County, Texas",48161,Rural,17.4,2411,"2219 of 3143"
"Union Parish, Louisiana",22111,Urban,17.4,2585,"2220 of 3143"
"Yuba County, California",06115,Urban,17.4,8957,"2221 of 3143"
"Sunflower County, Mississippi",28133,Rural,17.4,3058,"2222 of 3143"
"Cumberland County, New Jersey",34011,Urban,17.3,18040,"2223 of 3143"
"Oconto County, Wisconsin",55083,Urban,17.3,4991,"2224 of 3143"
"Kalkaska County, Michigan",26079,Urban,17.3,2253,"2225 of 3143"
"Ballard County, Kentucky",21007,Urban,17.3,964,"2226 of 3143"
"Red Lake County, Minnesota",27125,Rural,17.3,474,"2227 of 3143"
"Warren County, North Carolina",37185,Rural,17.3,2435,"2228 of 3143"
"Cedar County, Missouri",29039,Rural,17.3,1717,"2229 of 3143"
"Choctaw County, Mississippi",28019,Rural,17.3,998,"2230 of 3143"
"Mason County, Illinois",17125,Rural,17.3,1638,"2231 of 3143"
"Coryell County, Texas",48099,Urban,17.3,9066,"2232 of 3143"
"Dent County, Missouri",29065,Rural,17.3,1767,"2233 of 3143"
"Navajo County, Arizona",04017,Rural,17.3,12208,"2234 of 3143"
"Luce County, Michigan",26095,Rural,17.3,713,"2235 of 3143"
"Wheeler County, Texas",48483,Rural,17.3,596,"2236 of 3143"
"Caldwell County, North Carolina",37027,Urban,17.2,10047,"2237 of 3143"
"Richmond County, North Carolina",37153,Rural,17.2,5056,"2238 of 3143"
"Coal County, Oklahoma",40029,Rural,17.2,617,"2239 of 3143"
"Unicoi County, Tennessee",47171,Urban,17.2,2290,"2240 of 3143"
"Somerset County, Pennsylvania",42111,Rural,17.2,9515,"2241 of 3143"
"Obion County, Tennessee",47131,Rural,17.2,3728,"2242 of 3143"
"Cass County, Texas",48067,Rural,17.2,3451,"2243 of 3143"
"Cherokee County, South Carolina",45021,Rural,17.2,6578,"2244 of 3143"
"Franklin County, Idaho",16041,Urban,17.2,1470,"2245 of 3143"
"Van Wert County, Ohio",39161,Rural,17.2,3423,"2246 of 3143"
"Crenshaw County, Alabama",01041,Rural,17.2,1573,"2247 of 3143"
"Cleburne County, Arkansas",05023,Rural,17.2,3199,"2248 of 3143"
"Hockley County, Texas",48219,Urban,17.2,2344,"2249 of 3143"
"Christian County, Illinois",17021,Rural,17.2,4142,"2250 of 3143"
"St. Joseph County, Michigan",26149,Rural,17.2,7066,"2251 of 3143"
"Grays Harbor County, Washington",53027,Rural,17.2,9481,"2252 of 3143"
"Fayette County, Iowa",19065,Rural,17.2,2335,"2253 of 3143"
"Clayton County, Iowa",19043,Rural,17.2,2113,"2254 of 3143"
"Hamilton County, Illinois",17065,Rural,17.2,978,"2255 of 3143"
"Orange County, Texas",48361,Urban,17.2,9728,"2256 of 3143"
"Corson County, South Dakota",46031,Rural,17.2,367,"2257 of 3143"
"Madera County, California",06039,Urban,17.2,16987,"2258 of 3143"
"Greeley County, Nebraska",31077,Rural,17.1,263,"2259 of 3143"
"Cumberland County, Kentucky",21057,Rural,17.1,743,"2260 of 3143"
"Banks County, Georgia",13011,Rural,17.1,2215,"2261 of 3143"
"Bedford County, Tennessee",47003,Rural,17.1,5785,"2262 of 3143"
"Rusk County, Wisconsin",55107,Rural,17.1,1778,"2263 of 3143"
"Logan County, Kentucky",21141,Rural,17.1,3218,"2264 of 3143"
"Independence County, Arkansas",05063,Rural,17.1,4342,"2265 of 3143"
"Rhea County, Tennessee",47143,Rural,17.1,3907,"2266 of 3143"
"Randolph County, Missouri",29175,Rural,17.1,2938,"2267 of 3143"
"Halifax County with South Boston City, Virginia",51083,Rural,17.1,4211,"2268 of 3143"
"Tripp County, South Dakota",46123,Rural,17.1,693,"2269 of 3143"
"Van Zandt County, Texas",48467,Rural,17.1,7130,"2270 of 3143"
"Koochiching County, Minnesota",27071,Rural,17.1,1558,"2271 of 3143"
"Laurens County, Georgia",13175,Rural,17.1,5664,"2272 of 3143"
