County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),Value (Dollars),Rank within US
"Union County, Kentucky",21225,Rural,58260.000000000,"1838 of 3142"
"Wayne County, Iowa",19185,Rural,58257.000000000,"1839 of 3142"
"McPherson County, Nebraska",31117,Rural,58250.000000000,"1840 of 3142"
"Lamar County, Texas",48277,Rural,58246.000000000,"1841 of 3142"
"Wright County, Iowa",19197,Rural,58240.000000000,"1842 of 3142"
"Okanogan County, Washington",53047,Rural,58218.000000000,"1843 of 3142"
"Panola County, Texas",48365,Rural,58205.000000000,"1844 of 3142"
"Calhoun County, Michigan",26025,Urban,58191.000000000,"1845 of 3142"
"Osage County, Oklahoma",40113,Urban,58189.000000000,"1846 of 3142"
"Knox County, Indiana",18083,Rural,58173.000000000,"1847 of 3142"
"Aransas County, Texas",48007,Urban,58168.000000000,"1848 of 3142"
"Wheeler County, Texas",48483,Rural,58158.000000000,"1849 of 3142"
"Marion County, Tennessee",47115,Urban,58139.000000000,"1850 of 3142"
"Marshall County, West Virginia",54051,Urban,58129.000000000,"1851 of 3142"
"Goliad County, Texas",48175,Urban,58125.000000000,"1852 of 3142"
"Stark County, Illinois",17175,Urban,58125.000000000,"1852 of 3142"
"Cullman County, Alabama",01043,Rural,58119.000000000,"1854 of 3142"
"Franklin County, Florida",12037,Rural,58107.000000000,"1855 of 3142"
"Butte County, South Dakota",46019,Rural,58106.000000000,"1856 of 3142"
"Lee County, Iowa",19111,Rural,58094.000000000,"1857 of 3142"
"Des Moines County, Iowa",19057,Rural,58084.000000000,"1858 of 3142"
"Florence County, Wisconsin",55037,Rural,58049.000000000,"1859 of 3142"
"Ross County, Ohio",39141,Rural,58048.000000000,"1860 of 3142"
"Montgomery County, New York",36057,Rural,58033.000000000,"1861 of 3142"
"Clay County, Illinois",17025,Rural,58028.000000000,"1862 of 3142"
"Mifflin County, Pennsylvania",42087,Rural,58012.000000000,"1863 of 3142"
"Lake County, Montana",30047,Rural,58009.000000000,"1864 of 3142"
"Crawford County, Michigan",26039,Rural,57998.000000000,"1865 of 3142"
"Geary County, Kansas",20061,Urban,57992.000000000,"1866 of 3142"
"McMinn County, Tennessee",47107,Rural,57982.000000000,"1867 of 3142"
"Petroleum County, Montana",30069,Rural,57981.000000000,"1868 of 3142"
"Garfield County, Washington",53023,Rural,57958.000000000,"1869 of 3142"
"Adams County, North Dakota",38001,Rural,57950.000000000,"1870 of 3142"
"Owen County, Indiana",18119,Urban,57947.000000000,"1871 of 3142"
"Morton County, Kansas",20129,Rural,57943.000000000,"1872 of 3142"
"Gratiot County, Michigan",26057,Rural,57934.000000000,"1873 of 3142"
"Franklin County, Tennessee",47051,Rural,57933.000000000,"1874 of 3142"
"Warren County, Pennsylvania",42123,Rural,57925.000000000,"1875 of 3142"
"Todd County, Kentucky",21219,Rural,57891.000000000,"1876 of 3142"
"Bay County, Michigan",26017,Urban,57887.000000000,"1877 of 3142"
"Humboldt County, California",06023,Rural,57881.000000000,"1878 of 3142"
"Merrick County, Nebraska",31121,Urban,57873.000000000,"1879 of 3142"
"Floyd County, Georgia",13115,Urban,57868.000000000,"1880 of 3142"
"Larue County, Kentucky",21123,Urban,57867.000000000,"1881 of 3142"
"McKean County, Pennsylvania",42083,Rural,57861.000000000,"1882 of 3142"
"Lafayette County, Florida",12067,Rural,57852.000000000,"1883 of 3142"
"Jefferson County, Indiana",18077,Rural,57801.000000000,"1884 of 3142"
"Karnes County, Texas",48255,Rural,57798.000000000,"1885 of 3142"
"Lincoln County, Oregon",41041,Rural,57794.000000000,"1886 of 3142"
"Greene County, Indiana",18055,Rural,57771.000000000,"1887 of 3142"
"Wyandotte County, Kansas",20209,Urban,57771.000000000,"1887 of 3142"
"Ellis County, Oklahoma",40045,Rural,57768.000000000,"1889 of 3142"
"Clay County, Kansas",20027,Rural,57765.000000000,"1890 of 3142"
"Wallace County, Kansas",20199,Rural,57708.000000000,"1891 of 3142"
"Walworth County, South Dakota",46129,Rural,57697.000000000,"1892 of 3142"
"Smith County, Tennessee",47159,Urban,57677.000000000,"1893 of 3142"
"Missaukee County, Michigan",26113,Rural,57667.000000000,"1894 of 3142"
"Lincoln County, Oklahoma",40081,Urban,57656.000000000,"1895 of 3142"
"Rosebud County, Montana",30087,Rural,57656.000000000,"1895 of 3142"
"Cannon County, Tennessee",47015,Urban,57651.000000000,"1897 of 3142"
"Titus County, Texas",48449,Rural,57634.000000000,"1898 of 3142"
"Henry County, Indiana",18065,Rural,57632.000000000,"1899 of 3142"
"Pickens County, South Carolina",45077,Urban,57628.000000000,"1900 of 3142"
"Phillips County, Kansas",20147,Rural,57611.000000000,"1901 of 3142"
"Rio Grande County, Colorado",08105,Rural,57591.000000000,"1902 of 3142"
"Lawrence County, Pennsylvania",42073,Urban,57585.000000000,"1903 of 3142"
"Pope County, Illinois",17151,Rural,57582.000000000,"1904 of 3142"
"Pettis County, Missouri",29159,Rural,57581.000000000,"1905 of 3142"
"Roger Mills County, Oklahoma",40129,Rural,57574.000000000,"1906 of 3142"
"Alachua County, Florida",12001,Urban,57566.000000000,"1907 of 3142"
"Rock County, Nebraska",31149,Rural,57566.000000000,"1907 of 3142"
"Coos County, Oregon",41011,Rural,57563.000000000,"1909 of 3142"
"Brazos County, Texas",48041,Urban,57562.000000000,"1910 of 3142"
"Day County, South Dakota",46037,Rural,57558.000000000,"1911 of 3142"
"Gordon County, Georgia",13129,Rural,57555.000000000,"1912 of 3142"
"Bon Homme County, South Dakota",46009,Rural,57554.000000000,"1913 of 3142"
"Nicholas County, Kentucky",21181,Rural,57539.000000000,"1914 of 3142"
"Stokes County, North Carolina",37169,Urban,57539.000000000,"1914 of 3142"
"Franklin City, Virginia",51620,Rural,57537.000000000,"1916 of 3142"
"Philadelphia County, Pennsylvania",42101,Urban,57537.000000000,"1916 of 3142"
"Stephenson County, Illinois",17177,Rural,57527.000000000,"1918 of 3142"
"Sawyer County, Wisconsin",55113,Rural,57519.000000000,"1919 of 3142"
"Hancock County, West Virginia",54029,Urban,57515.000000000,"1920 of 3142"
"Dorchester County, Maryland",24019,Rural,57490.000000000,"1921 of 3142"
"Reeves County, Texas",48389,Rural,57487.000000000,"1922 of 3142"
"Yadkin County, North Carolina",37197,Urban,57486.000000000,"1923 of 3142"
"Rusk County, Wisconsin",55107,Rural,57473.000000000,"1924 of 3142"
"Chester County, Tennessee",47023,Urban,57471.000000000,"1925 of 3142"
