
	Screening and Risk Factors Report for United States by County
(2017-2019 County Level Modeled Estimates Combining BRFSS & NHIS)

"Pap Test in Past 3 Years, No Hysterectomy"
"All Races (includes Hispanic), Female, Ages 21-65"

Sorted by Percent

County,FIPS,"Model-Based Percent(3)","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Daviess County, Missouri",29061,79.2 ,65.0, 91.2
"Durham County, North Carolina",37063,79.2 ,69.2, 88.2
"East Baton Rouge Parish, Louisiana",22033,79.2 ,69.6, 88.3
"Kanawha County, West Virginia",54039,79.2 ,68.9, 88.9
"Lynchburg City, Virginia",51680,79.2 ,67.0, 90.0
"Montgomery County, Missouri",29139,79.2 ,62.6, 92.7
"Muskingum County, Ohio",39119,79.2 ,68.0, 89.3
"Newton County, Indiana",18111,79.2 ,63.4, 92.4
"Noble County, Oklahoma",40103,79.2 ,62.3, 92.7
"Sevier County, Arkansas",05133,79.2 ,66.1, 90.4
"Smith County, Texas",48423,79.2 ,69.4, 88.0
"Wetzel County, West Virginia",54103,79.2 ,66.2, 90.5
"Wright County, Minnesota",27171,79.2 ,68.2, 89.6
"Bacon County, Georgia",13005,79.1 ,62.4, 92.6
"Carroll County, Maryland",24013,79.1 ,72.8, 84.8
"Davie County, North Carolina",37059,79.1 ,62.0, 93.2
"Geauga County, Ohio",39055,79.1 ,65.7, 90.8
"Howard County, Arkansas",05061,79.1 ,62.6, 92.5
"McIntosh County, North Dakota",38051,79.1 ,66.0, 90.8
"Mineral County, Nevada",32021,79.1 ,62.4, 92.8
"Montgomery County, Maryland",24031,79.1 ,72.4, 85.4
"Archer County, Texas",48009,79.0 ,64.8, 91.0
"Barbour County, Alabama",01005,79.0 ,65.8, 90.5
"Calhoun County, Florida",12013,79.0 ,65.2, 90.8
"Chester County, Pennsylvania",42029,79.0 ,68.4, 88.6
"Doddridge County, West Virginia",54017,79.0 ,64.8, 91.3
"Fairfax County, Virginia",51059,79.0 ,70.8, 86.7
"Franklin County, Massachusetts",25011,79.0 ,65.9, 90.5
"Hutchinson County, South Dakota",46067,79.0 ,62.0, 93.0
"Irwin County, Georgia",13155,79.0 ,62.3, 92.8
"Jones County, Georgia",13169,79.0 ,65.1, 91.1
"Kane County, Illinois",17089,79.0 ,68.6, 88.5
"Macon County, North Carolina",37113,79.0 ,65.4, 90.8
"Marin County, California",06041,79.0 ,69.1, 87.8
"Marshall County, Oklahoma",40095,79.0 ,64.6, 91.2
"Mellette County, South Dakota",46095,79.0 ,66.0, 90.4
"Randolph County, Georgia",13243,79.0 ,67.0, 89.3
"Shelby County, Iowa",19165,79.0 ,66.5, 90.0
"Snyder County, Pennsylvania",42109,79.0 ,62.4, 92.7
"Cobb County, Georgia",13067,78.9 ,70.9, 86.5
"Dubuque County, Iowa",19061,78.9 ,69.5, 87.2
"Fairfield County, Connecticut",09001,78.9 ,70.7, 86.7
"Hamilton County, Tennessee",47065,78.9 ,68.0, 89.2
"Marshall County, Iowa",19127,78.9 ,66.8, 89.8
"Mobile County, Alabama",01097,78.9 ,69.3, 87.7
"Montgomery County, Alabama",01101,78.9 ,69.8, 87.3
"Osage County, Missouri",29151,78.9 ,61.6, 92.9
"Pitkin County, Colorado",08097,78.9 ,62.3, 92.6
"Powder River County, Montana",30075,78.9 ,61.7, 92.8
"Rice County, Minnesota",27131,78.9 ,67.6, 89.3
"Union County, Kentucky",21225,78.9 ,62.2, 92.7
"Carroll County, Arkansas",05015,78.8 ,65.7, 90.4
"Cortland County, New York",36023,78.8 ,67.6, 89.0
"Eaton County, Michigan",26045,78.8 ,66.2, 90.0
"McLennan County, Texas",48309,78.8 ,69.1, 87.7
"New Hanover County, North Carolina",37129,78.8 ,68.6, 87.9
"New York County, New York",36061,78.8 ,71.3, 85.9
"Sheridan County, Nebraska",31161,78.8 ,65.7, 90.3
"Cleveland County, Oklahoma",40027,78.7 ,75.1, 82.2
"Lafayette County, Wisconsin",55065,78.7 ,69.7, 86.8
"Lawrence County, Alabama",01079,78.7 ,63.7, 91.3
"Nome Census Area, Alaska",02180,78.7 ,64.7, 90.7
"Simpson County, Kentucky",21213,78.7 ,64.3, 91.0
"Fayette County, Tennessee",47047,78.6 ,64.8, 90.6
"Litchfield County, Connecticut",09005,78.6 ,67.9, 88.6
"Martin County, Florida",12085,78.6 ,65.9, 89.9
"Monroe County, New York",36055,78.6 ,72.4, 84.5
"Saline County, Arkansas",05125,78.6 ,66.8, 89.2
"Seminole County, Florida",12117,78.6 ,67.2, 88.8
"Bond County, Illinois",17005,78.5 ,60.6, 93.0
"Buffalo County, Nebraska",31019,78.5 ,67.8, 88.5
"Cherokee County, Georgia",13057,78.5 ,69.5, 86.7
"Nicollet County, Minnesota",27103,78.5 ,66.5, 89.4
"Northumberland County, Virginia",51133,78.5 ,64.8, 90.4
"Pima County, Arizona",04019,78.5 ,71.7, 84.9
"St. Joseph County, Indiana",18141,78.5 ,70.3, 86.1
"Wilcox County, Alabama",01131,78.5 ,69.1, 86.8
"Brown County, Indiana",18013,78.4 ,63.1, 91.2
"Cook County, Georgia",13075,78.4 ,64.2, 90.8
"Duval County, Florida",12031,78.4 ,70.5, 85.6
"Henry County, Georgia",13151,78.4 ,67.8, 87.9
"King George County, Virginia",51099,78.4 ,61.4, 92.2
"Marion County, Ohio",39101,78.4 ,66.4, 89.3
"Martin County, Texas",48317,78.4 ,60.6, 92.7
"Pulaski County, Missouri",29169,78.4 ,64.7, 90.3
"Victoria County, Texas",48469,78.4 ,60.6, 92.7
"Ashe County, North Carolina",37009,78.3 ,61.4, 92.4
"Bergen County, New Jersey",34003,78.3 ,70.2, 85.7
"Essex County, Massachusetts",25009,78.3 ,69.2, 86.8
"Green Lake County, Wisconsin",55047,78.3 ,64.4, 90.3
"Hampshire County, Massachusetts",25015,78.3 ,68.8, 87.1
"Kewaunee County, Wisconsin",55061,78.3 ,60.5, 92.7
"Rock Island County, Illinois",17161,78.3 ,67.5, 87.9
"Rusk County, Texas",48401,78.3 ,60.5, 92.7
"St. Charles County, Missouri",29183,78.3 ,70.4, 85.5
"Wakulla County, Florida",12129,78.3 ,64.5, 90.2
"Clark County, Arkansas",05019,78.2 ,61.3, 92.2
"Frederick County, Virginia",51069,78.2 ,64.9, 90.0
"Fulton County, Georgia",13121,78.2 ,69.6, 86.4
"Nobles County, Minnesota",27105,78.2 ,65.5, 89.7
